Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-225.3598	-342.8132	117.4533	0.5884241	0.9474645	0.977437	0.0225627	1.396513
6	-227.4318	-344.0754	116.6437	0.8867913	1.543649	0.992864	0.00713644	1.396513
12	-219.4048	-336.0821	116.6773	0.7361236	1.543649	0.935347	0.0646526	1.486096
18	-213.4378	-331.1341	117.6963	0.6448462	0.8347525	0.855301	0.144699	1.254774
24	-215.2422	-331.5604	116.3182	0.5965917	1.047193	0.904151	0.0958493	2.118319
30	-217.362	-334.5481	117.1861	0.8687309	1.067057	0.915363	0.0846373	1.291329
36	-221.1059	-338.2066	117.1007	0.8687309	1.067057	0.929103	0.070897	1.359845
42	-211.1283	-328.4445	117.3162	1.356351	0.9380483	0.859892	0.140108	0.8195921
48	-215.0621	-331.8255	116.7635	1.607427	1.440447	0.902249	0.0977512	0.5285389
54	-215.3644	-332.4464	117.0821	1.502796	1.131332	0.971063	0.0289374	0.6631403
60	-224.8974	-342.4799	117.5825	1.3026	0.7585673	0.871085	0.128915	0.8075871
66	-219.1282	-336.3212	117.193	1.280344	1.028468	0.85625	0.14375	0.9441132
72	-224.3576	-341.3004	116.9428	1.032402	1.314561	0.823303	0.176697	1.175359
78	-223.6825	-340.4026	116.72	1.032402	1.90397	0.945779	0.0542212	0.9989937
84	-226.4952	-343.57	117.0748	1.080887	1.32652	0.978158	0.0218415	0.9989937
90	-222.2044	-337.6812	115.4768	0.1454088	1.673603	0.933588	0.066412	2.620018
96	-224.468	-341.0141	116.546	0.9908027	1.735411	0.922239	0.0777613	1.286555
102	-229.0129	-346.251	117.2381	0.719005	1.616421	0.948024	0.0519755	0.9808587
108	-225.072	-341.978	116.9059	0.9009606	1.557553	0.932179	0.0678211	1.160933
114	-216.4997	-334.1353	117.6355	0.6567837	0.9077902	0.985165	0.0148351	1.22786
120	-215.9963	-333.08	117.0837	0.7212763	1.28752	0.940607	0.0593931	1.335335
126	-224.1077	-341.375	117.2672	0.6985235	0.9491301	0.941465	0.058535	1.453713
132	-228.2688	-344.1085	115.8397	0.6145117	0.9601672	0.922921	0.0770786	2.468508
138	-222.1785	-338.5651	116.3866	0.4739505	1.021867	0.912662	0.0873377	2.169794
144	-220.5594	-337.2156	116.6563	0.3517646	0.8800123	0.922968	0.0770317	2.169794
150	-216.1116	-333.5148	117.4032	0.9696803	0.8013359	0.96446	0.0355397	1.260626
156	-220.9663	-338.502	117.5357	1.024368	0.584756	0.969203	0.0307969	1.340327
162	-221.6411	-338.2967	116.6556	0.6968902	1.428798	0.91754	0.0824601	1.594165
168	-232.7448	-349.6207	116.876	0.1988938	1.492813	0.945816	0.0541836	1.757844
174	-235.2935	-352.3481	117.0546	0.06076553	1.540185	0.945816	0.0541836	1.70511
180	-232.9167	-350.2562	117.3395	1.27958	0.8052988	0.830071	0.169929	1.038088
186	-234.2929	-351.1961	116.9032	1.078038	1.934313	0.965122	0.0348783	0.6913808
192	-216.5658	-333.3724	116.8065	1.147428	1.859456	0.96558	0.0344203	0.8022688
198	-227.1111	-344.262	117.1509	0.9552684	1.189228	0.985457	0.0145432	1.153342
204	-223.4472	-340.7297	117.2826	0.8362616	1.360399	0.993408	0.00659236	1.008729
210	-210.8132	-327.6257	116.8124	0.8362616	1.872834	0.959159	0.0408411	1.115639
216	-221.0649	-337.5351	116.4702	0.9176319	1.783702	0.985292	0.0147085	1.380723
222	-217.238	-333.8848	116.6468	0.7936278	1.97986	0.974763	0.0252371	1.240486
228	-224.3062	-341.5481	117.2419	0.4236583	1.626713	0.94245	0.0575496	1.240486
234	-230.7517	-347.4353	116.6836	1.646367	1.358806	0.964525	0.0354745	0.3038985
240	-232.7757	-348.9413	116.1656	1.905393	1.437541	0.953386	0.0466142	0.2042677
246	-235.643	-351.7801	116.1371	1.761487	1.85489	0.990484	0.00951593	0.2516184
252	-231.4736	-347.7237	116.2501	0.7380123	1.802016	0.949451	0.0505492	1.66976
258	-218.8953	-335.7719	116.8766	0.8794085	1.296337	0.96402	0.0359796	1.368447
264	-226.3007	-342.9297	116.629	0.9551173	1.187671	0.952807	0.0471932	1.568877
270	-214.8622	-330.9893	116.1272	0.7260204	2.362961	0.942889	0.0571109	1.535128
276	-214.0492	-330.3393	116.2901	0.5819252	2.326608	0.986342	0.0136582	1.535128
282	-211.6994	-328.2441	116.5447	0.6989759	1.985956	0.939257	0.0607434	1.396164
288	-216.1788	-332.4207	116.2419	0.4900309	2.381074	0.978992	0.0210079	1.617146
294	-217.6281	-334.4849	116.8568	0.661272	1.31246	0.904352	0.0956475	1.539856
300	-219.3024	-336.0321	116.7297	0.6050806	1.865408	0.960442	0.0395581	1.381926
306	-221.4701	-337.9207	116.4506	0.8612318	2.140225	0.974935	0.0250655	1.270892
312	-225.9652	-342.8551	116.8899	0.820434	1.785467	0.914753	0.0852467	1.109605
318	-217.6346	-334.5599	116.9254	0.9613011	1.648558	0.944958	0.0550421	1.028979
324	-222.0055	-338.4717	116.4662	1.31075	2.376718	0.928101	0.0718995	0.5999495
330	-227.8573	-345.2039	117.3466	1.025259	1.049029	0.961569	0.0384309	1.026877
336	-222.0269	-339.2995	117.2726	0.8396686	1.238948	0.918232	0.0817683	1.109365
342	-232.4142	-348.964	116.5497	0.1808925	1.496581	0.965774	0.0342261	1.990808
348	-232.9603	-348.4319	115.4716	0.1261242	1.693235	0.918144	0.0818564	2.626993
354	-227.0126	-343.9376	116.9249	0.9583968	1.562526	0.876601	0.123399	1.08893
360	-226.5802	-343.7438	117.1636	1.051864	1.146477	0.956447	0.0435527	1.088974
366	-221.5501	-338.8786	117.3285	0.5638224	0.9576123	0.933608	0.0663921	1.502528
372	-226.041	-342.8145	116.7735	0.6743011	1.745249	0.946456	0.0535436	1.353066
378	-234.2743	-349.859	115.5847	0.6340999	3.257059	0.946456	0.0535436	1.702742
384	-225.4453	-342.3648	116.9195	0.7751217	2.316694	0.953768	0.0462323	0.8013657
390	-223.5541	-339.4616	115.9074	0.5883	2.103825	0.959838	0.0401624	1.886685
396	-228.6747	-345.4514	116.7767	1.013151	1.802894	0.898717	0.101283	1.024214
402	-225.0446	-341.3363	116.2917	1.139262	2.428694	0.93335	0.0666497	1.030045
408	-231.1923	-347.6298	116.4374	1.124992	2.749045	0.880152	0.119848	0.6800448
414	-215.5779	-332.9818	117.4038	0.9810671	1.217738	0.969728	0.0302718	0.8474977
420	-208.5717	-325.2175	116.6458	1.138726	1.986562	0.931692	0.0683084	0.9134162
426	-211.4883	-328.6791	117.1908	1.254647	1.304625	0.963629	0.0363714	0.6416604
432	-219.8728	-337.1522	117.2794	1.347361	1.103087	0.978936	0.0210643	0.6277337
438	-227.0895	-344.0476	116.9581	1.435006	1.377387	0.860862	0.139138	0.6277337
444	-220.4206	-336.7496	116.329	1.022656	2.581575	0.960945	0.0390546	1.034116
450	-218.6543	-336.3587	117.7044	0.8502747	0.975296	0.929475	0.0705246	0.9134643
456	-218.9881	-336.6236	117.6355	1.022015	0.795381	0.968106	0.0318936	1.01201
462	-217.1628	-333.8138	116.6511	1.605872	1.575361	0.987027	0.0129734	0.4138104
468	-215.9632	-332.5044	116.5412	0.8893722	2.847248	0.944228	0.0557719	0.8135346
474	-218.6071	-335.0179	116.4108	0.9501087	2.958929	0.940094	0.0599058	0.8400427
480	-212.5585	-329.3781	116.8196	0.4801257	2.423381	0.940094	0.0599058	1.153677
486	-218.1185	-335.1506	117.0322	0.764323	1.477192	0.862885	0.137115	1.220317
492	-219.7341	-336.3442	116.6101	0.9716583	2.25447	0.935532	0.0644681	0.969437
498	-217.9828	-333.8693	115.8865	0.5827403	1.669115	0.969899	0.0301014	2.083457
504	-231.0588	-348.0198	116.961	1.510428	1.198746	0.942818	0.0571821	0.3106701
510	-219.3716	-335.9762	116.6046	0.7102783	2.3755	0.987342	0.0126576	1.161731
516	-224.0903	-340.9756	116.8853	1.264751	1.5984	0.981066	0.0189337	0.7689488
522	-222.3299	-339.3048	116.9749	1.197637	1.637823	0.977462	0.0225378	0.689655
528	-225.1506	-342.0686	116.9179	1.334443	1.351432	0.962671	0.0373292	0.8735944
534	-218.6071	-335.4528	116.8457	0.8067626	1.541006	0.920654	0.0793459	1.301075
540	-221.9732	-338.9395	116.9663	0.9269157	0.9834542	0.898571	0.101429	1.482045
546	-217.9913	-334.7805	116.7892	0.8426316	1.841385	0.930619	0.0693808	1.148245
552	-214.973	-331.3624	116.3895	0.9866094	2.066859	0.958321	0.0416791	1.251966
558	-221.1827	-338.3761	117.1934	1.147298	1.378931	0.956723	0.0432772	0.726151
564	-216.473	-332.9213	116.4482	1.20012	2.19202	0.977143	0.0228573	0.9348303
570	-221.3782	-337.3929	116.0147	0.7222613	1.49487	0.984228	0.0157719	1.987404
576	-226.647	-343.2545	116.6075	0.6114858	1.682949	0.904776	0.0952236	1.558907
582	-216.2987	-332.9264	116.6277	0.817792	1.764851	0.920788	0.0792116	1.344725
588	-223.8297	-339.7443	115.9146	0.8617739	2.994032	0.920788	0.0792116	1.368975
594	-216.8657	-333.0918	116.2261	0.7710622	2.510014	0.967244	0.0327555	1.368975
600	-222.394	-339.0836	116.6896	0.7454949	1.818075	0.970102	0.0298978	1.325836
606	-229.0851	-346.1763	117.0912	0.5798037	1.244604	0.915108	0.0848916	1.467472
612	-228.5795	-345.4392	116.8598	0.5541218	1.601953	0.938611	0.0613891	1.454507
618	-220.516	-337.5359	117.0199	0.9439474	1.460658	0.931876	0.0681243	1.083225
624	-216.4426	-333.1433	116.7007	1.104642	1.835779	0.8959	0.1041	0.9881561
630	-221.8851	-338.3145	116.4293	0.7248355	1.835779	0.8959	0.1041	1.533509
636	-232.1652	-348.2532	116.088	1.055838	2.35865	0.982148	0.0178515	1.312655
642	-242.3486	-358.1587	115.81	0.3105689	2.606303	0.938031	0.0619695	1.964644
648	-240.4291	-356.699	116.2699	0.1384128	2.054578	0.912698	0.0873021	1.964644
654	-222.2945	-338.7309	116.4364	1.229561	1.615295	0.971066	0.0289341	1.246768
660	-228.2298	-345.0719	116.8421	1.132305	1.615295	0.978641	0.0213591	0.9638795
666	-221.543	-338.654	117.111	1.576354	1.067699	0.965943	0.034057	0.4820478
672	-222.1103	-338.6453	116.535	1.576354	1.818408	0.966177	0.0338225	0.5038012
